f_hz,asd_v,beta_f_vw,nep_w,nep_nopnp_w,g_usb,g_lsb,vif_dbv,nf_dsb_db,nf_ssb_db,nf_dsb_nopnp_db
8.906360e+04,8.591460e-07,4.121584e+01,2.084505e-08,1.588918e-09,6.694018e-01,6.694020e-01,-7.521101e+01,8.138936e+01,8.439966e+01,5.903134e+01
9.992923e+04,8.110959e-07,4.121584e+01,1.967923e-08,1.500874e-09,6.694018e-01,6.694019e-01,-7.521101e+01,8.088946e+01,8.389976e+01,5.853619e+01
1.121205e+05,7.657334e-07,4.121583e+01,1.857862e-08,1.417802e-09,6.694017e-01,6.694019e-01,-7.521101e+01,8.038957e+01,8.339987e+01,5.804162e+01
1.257990e+05,7.229082e-07,4.121583e+01,1.753958e-08,1.339427e-09,6.694016e-01,6.694018e-01,-7.521101e+01,7.988968e+01,8.289998e+01,5.754769e+01
1.411463e+05,6.824785e-07,4.121583e+01,1.655865e-08,1.265489e-09,6.694015e-01,6.694018e-01,-7.521101e+01,7.938980e+01,8.240010e+01,5.705448e+01
1.583659e+05,6.443102e-07,4.121582e+01,1.563259e-08,1.195744e-09,6.694014e-01,6.694017e-01,-7.521101e+01,7.888992e+01,8.190022e+01,5.656207e+01
1.776864e+05,6.082768e-07,4.121582e+01,1.475833e-08,1.129960e-09,6.694013e-01,6.694016e-01,-7.521101e+01,7.839005e+01,8.140035e+01,5.607057e+01
1.993639e+05,5.742590e-07,4.121582e+01,1.393298e-08,1.067918e-09,6.694011e-01,6.694015e-01,-7.521101e+01,7.789018e+01,8.090048e+01,5.558007e+01
2.236860e+05,5.421441e-07,4.121581e+01,1.315379e-08,1.009414e-09,6.694009e-01,6.694013e-01,-7.521101e+01,7.739032e+01,8.040062e+01,5.509070e+01
2.509753e+05,5.118256e-07,4.121580e+01,1.241819e-08,9.542526e-10,6.694006e-01,6.694011e-01,-7.521101e+01,7.689046e+01,7.990077e+01,5.460258e+01
2.815940e+05,4.832030e-07,4.121579e+01,1.172374e-08,9.022510e-10,6.694003e-01,6.694008e-01,-7.521102e+01,7.639062e+01,7.940092e+01,5.411586e+01
3.159480e+05,4.561816e-07,4.121578e+01,1.106813e-08,8.532365e-10,6.693999e-01,6.694004e-01,-7.521102e+01,7.589078e+01,7.890109e+01,5.363071e+01
3.544933e+05,4.306718e-07,4.121576e+01,1.044920e-08,8.070464e-10,6.693994e-01,6.694000e-01,-7.521102e+01,7.539096e+01,7.840126e+01,5.314729e+01
3.977409e+05,4.065890e-07,4.121574e+01,9.864896e-09,7.635270e-10,6.693987e-01,6.693994e-01,-7.521103e+01,7.489115e+01,7.790145e+01,5.266581e+01
4.462648e+05,3.838535e-07,4.121572e+01,9.313279e-09,7.225336e-10,6.693979e-01,6.693987e-01,-7.521103e+01,7.439135e+01,7.740165e+01,5.218648e+01
5.007085e+05,3.623898e-07,4.121569e+01,8.792522e-09,6.839296e-10,6.693969e-01,6.693978e-01,-7.521104e+01,7.389157e+01,7.690187e+01,5.170955e+01
5.617942e+05,3.421270e-07,4.121565e+01,8.300901e-09,6.475862e-10,6.693956e-01,6.693966e-01,-7.521105e+01,7.339180e+01,7.640211e+01,5.123528e+01
6.303323e+05,3.229978e-07,4.121560e+01,7.836785e-09,6.133822e-10,6.693941e-01,6.693952e-01,-7.521106e+01,7.289206e+01,7.590236e+01,5.076396e+01
7.072319e+05,3.049388e-07,4.121554e+01,7.398637e-09,5.812030e-10,6.693921e-01,6.693933e-01,-7.521107e+01,7.239233e+01,7.540264e+01,5.029590e+01
7.935132e+05,2.878902e-07,4.121546e+01,6.985006e-09,5.509407e-10,6.693896e-01,6.693910e-01,-7.521109e+01,7.189263e+01,7.490294e+01,4.983144e+01
8.903207e+05,2.717955e-07,4.121536e+01,6.594520e-09,5.224935e-10,6.693865e-01,6.693880e-01,-7.521111e+01,7.139296e+01,7.440326e+01,4.937096e+01
9.989386e+05,2.566014e-07,4.121524e+01,6.225886e-09,4.957652e-10,6.693825e-01,6.693843e-01,-7.521113e+01,7.089332e+01,7.390362e+01,4.891487e+01
1.120808e+06,2.422575e-07,4.121509e+01,5.877883e-09,4.706653e-10,6.693776e-01,6.693796e-01,-7.521116e+01,7.039371e+01,7.340402e+01,4.846360e+01
1.257545e+06,2.287162e-07,4.121490e+01,5.549357e-09,4.471082e-10,6.693715e-01,6.693737e-01,-7.521120e+01,6.989415e+01,7.290445e+01,4.801762e+01
1.410963e+06,2.159327e-07,4.121466e+01,5.239220e-09,4.250130e-10,6.693637e-01,6.693662e-01,-7.521125e+01,6.939463e+01,7.240493e+01,4.757741e+01
1.583099e+06,2.038646e-07,4.121437e+01,4.946444e-09,4.043033e-10,6.693540e-01,6.693568e-01,-7.521132e+01,6.889515e+01,7.190546e+01,4.714352e+01
