 time            v1              v2              v3              v4             
 1.63280000e-11 -1.49352488e-01  8.91237016e-01  8.66739349e-01  5.44311014e-01 
 1.64280000e-11 -2.22397755e-01  8.51961108e-01  9.12433050e-01  5.39250729e-01 
 1.65280000e-11 -2.88148274e-01  8.09052784e-01  9.52805687e-01  5.32676515e-01 
 1.66280000e-11 -3.45940099e-01  7.62944728e-01  9.87447299e-01  5.24654016e-01 
 1.67280000e-11 -3.95189649e-01  7.14101863e-01  1.01600583e+00  5.15263462e-01 
 1.68280000e-11 -4.35399604e-01  6.63016663e-01  1.03819071e+00  5.04598852e-01 
 1.69280000e-11 -4.66163927e-01  6.10204196e-01  1.05377579e+00  4.92766998e-01 
 1.70280000e-11 -4.87171958e-01  5.56196933e-01  1.06260161e+00  4.79886441e-01 
 1.71280000e-11 -4.98211561e-01  5.01539381e-01  1.06457707e+00  4.66086256e-01 
 1.72280000e-11 -4.99171257e-01  4.46782596e-01  1.05968030e+00  4.51504745e-01 
 1.73280000e-11 -4.90041356e-01  3.92478629e-01  1.04795894e+00  4.36288045e-01 
 1.74280000e-11 -4.70914051e-01  3.39174958e-01  1.02952958e+00  4.20588654e-01 
 1.75280000e-11 -4.41982489e-01  2.87408970e-01  1.00457669e+00  4.04563897e-01 
 1.76280000e-11 -4.03538819e-01  2.37702538e-01  9.73350645e-01  3.88374344e-01 
 1.77280000e-11 -3.55971246e-01  1.90556761e-01  9.36165286e-01  3.72182198e-01 
 1.78280000e-11 -2.99760103e-01  1.46446904e-01  8.93394695e-01  3.56149658e-01 
 1.79280000e-11 -2.35473011e-01  1.05817606e-01  8.45469431e-01  3.40437301e-01 
 1.80280000e-11 -1.63759136e-01  6.90783926e-02  7.92872180e-01  3.25202458e-01 
 1.81280000e-11 -8.53426450e-02  3.65995414e-02  7.36132875e-01  3.10597646e-01 
 1.82280000e-11 -1.01538351e-03  8.70834486e-03  6.75823339e-01  2.96769028e-01 
 1.83280000e-11  8.83711143e-02 -1.43141944e-02  6.12551509e-01  2.83854951e-01 
 1.84280000e-11  1.81914227e-01 -3.22362009e-02  5.46955290e-01  2.71984560e-01 
 1.85280000e-11  2.78669358e-01 -4.48772691e-02  4.79696113e-01  2.61276495e-01 
 1.86280000e-11  3.77659479e-01 -5.21102857e-02  4.11452249e-01  2.51837707e-01 
 1.87280000e-11  4.77884991e-01 -5.38627154e-02  3.42911960e-01  2.43762384e-01 
 1.88280000e-11  5.78333819e-01 -5.01173349e-02  2.74766542e-01  2.37131003e-01 
 1.89280000e-11  6.77991635e-01 -4.09124088e-02  2.07703342e-01  2.32009524e-01 
 1.90280000e-11  7.75852097e-01 -2.63413060e-02  1.42398817e-01  2.28448728e-01 
 1.91280000e-11  8.70927014e-01 -6.55155859e-03  7.95117022e-02  2.26483709e-01 
 1.92280000e-11  9.62256323e-01  1.82566255e-02  1.96763528e-02  2.26133518e-01 
 1.93280000e-11  1.04891778e+00  4.78323817e-02 -3.65036585e-02  2.27400976e-01 
 1.94280000e-11  1.13003629e+00  8.18767201e-02 -8.84616391e-02  2.30272642e-01 
 1.95280000e-11  1.20479271e+00  1.20045543e-01 -1.35673499e-01  2.34718951e-01 
 1.96280000e-11  1.27243216e+00  1.61953117e-01 -1.77663042e-01  2.40694508e-01 
 1.97280000e-11  1.33227162e+00  2.07175967e-01 -2.14006778e-01  2.48138550e-01 
 1.98280000e-11  1.38370682e+00  2.55257152e-01 -2.44338195e-01  2.56975549e-01 
 1.99280000e-11  1.42621838e+00  3.05710877e-01 -2.68351460e-01  2.67115977e-01 
 2.00280000e-11  1.45937703e+00  3.58027398e-01 -2.85804510e-01  2.78457205e-01 
 2.01280000e-11  1.48284791e+00  4.11678168e-01 -2.96521494e-01  2.90884535e-01 
 2.02280000e-11  1.49639403e+00  4.66121176e-01 -3.00394547e-01  3.04272353e-01 
 2.03280000e-11  1.49987860e+00  5.20806419e-01 -2.97384880e-01  3.18485393e-01 
 2.04280000e-11  1.49326643e+00  5.75181453e-01 -2.87523172e-01  3.33380102e-01 
 2.05280000e-11  1.47662428e+00  6.28696979e-01 -2.70909259e-01  3.48806078e-01 
 2.06280000e-11  1.45012022e+00  6.80812380e-01 -2.47711125e-01  3.64607590e-01 
 2.07280000e-11  1.41402187e+00  7.31001192e-01 -2.18163207e-01  3.80625143e-01 
 2.08280000e-11  1.36869377e+00  7.78756409e-01 -1.82564026e-01  3.96697089e-01 
 2.09280000e-11  1.31459362e+00  8.23595614e-01 -1.41273176e-01  4.12661247e-01 
 2.10280000e-11  1.25226774e+00  8.65065844e-01 -9.47076921e-02  4.28356545e-01 
 2.11280000e-11  1.18234548e+00  9.02748167e-01 -4.33378371e-02  4.43624638e-01 
 2.12280000e-11  1.10553292e+00  9.36261913e-01  1.23176415e-02  4.58311507e-01 
 2.13280000e-11  1.02260571e+00  9.65268518e-01  7.16967516e-02  4.72269011e-01 
 2.14280000e-11  9.34401240e-01  9.89474945e-01  1.34199929e-01  4.85356378e-01 
 2.15280000e-11  8.41810205e-01  1.00863664e+00  1.99196091e-01  4.97441626e-01 
 2.16280000e-11  7.45767583e-01  1.02256001e+00  2.66029007e-01  5.08402897e-01 
 2.17280000e-11  6.47243207e-01  1.03110436e+00  3.34023921e-01  5.18129681e-01 
 2.18280000e-11  5.47231975e-01  1.03418333e+00  4.02494370e-01  5.26523935e-01 
 2.19280000e-11  4.46743795e-01  1.03176579e+00  4.70749105e-01  5.33501067e-01 
 2.20280000e-11  3.46793395e-01  1.02387607e+00  5.38099077e-01  5.38990799e-01 
 2.21280000e-11  2.48390070e-01  1.01059384e+00  6.03864388e-01  5.42937864e-01 
 2.22280000e-11  1.52527494e-01  9.92053177e-01  6.67381155e-01  5.45302575e-01 
 2.23280000e-11  6.01736831e-02  9.68441306e-01  7.28008217e-01  5.46061220e-01 
 2.24280000e-11 -2.77387765e-02  9.39996662e-01  7.85133598e-01  5.45206301e-01 
 2.25280000e-11 -1.10322148e-01  9.07006493e-01  8.38180694e-01  5.42746613e-01 
 2.26280000e-11 -1.86742507e-01  8.69803959e-01  8.86614088e-01  5.38707155e-01 
